license_no,company,state,postcode,phone,license_year,osa_code
MALLI20240020,Mebo Healthcare Sdn Bhd,Selangor,47400,,2024,1136033
MALLI20241225,Farmasi R.S. Sdn Bhd,Perak,30100,"05-5271279, 05-5263402",2024,1124224
MALLI20240449,MEDIPHARM INDUSTRIES SDN. BHD.,Selangor,46050,05-5450218,2024,56011
MALLI20241411A,Astellas Pharma Malaysia Sdn Bhd,W.P. Kuala Lumpur,59200,0322026994,2024,1104519
MALLI20240261A,N.K. LUCK SDN. BHD.,W.P. Kuala Lumpur,50200,03-2305622,2024,57548
MALLI20241824,DIONE HEALTHCARE HOLDINGS MALAYSIA SDN. BHD.,Johor,79100,,2024,1183853
MALLI20241222,CELLGEN LIFESCIENCES (M) SDN. BHD.,W.P. Kuala Lumpur,59200,03-22872286,2024,56119
MALLI20240627,HBL (M) SDN BHD,W.P. Kuala Lumpur,50450,+60342566688,2024,1119050
MALLI20240148,Rank Distributors Sdn. Bhd.,W.P. Kuala Lumpur,55100,0321166688,2024,1122628
MALLI20241836A,AJ RESEARCH & PHARMA SDN. BHD.,W.P. Kuala Lumpur,50088,0321611585,2024,1269890
MALLI20241414A,B. Braun Medical Supplies Sdn Bhd,Selangor,47800,0378414200,2024,1111859
MALLI20240879A,OTSUKA PHARMACEUTICALS (MALAYSIA) SDN. BHD.,Selangor,47301,03 7890 5464,2024,1187363
MALLI20240515,Melaleuca Southeast Asia (malaysia) Sdn. Bhd.,W.P. Kuala Lumpur,59000,03-23304688,2024,1117125
MALLI20241666,Metro Signature Sdn Bhd,Selangor,46150,0377823663,2024,1033637
MALLI20240579,POH TAI TRADING SDN. BHD.,Selangor,68100,0361871190,2024,55943
MALLI20241932,New Sea Trading Sdn Bhd,W.P. Kuala Lumpur,58100,,2024,1147564
MALLI20240066,Eucogen Pharma Sdn. Bhd.,Selangor,40460,0351311997,2024,1110919
MALLI20240514,Reliv International Sdn Bhd,Selangor,47000,,2024,1133386
MALLI20241313,VC FUTURE SDN BHD,Selangor,47810,,2024,1309421
MALLI20240416A,PHARMANIAGA LIFESCIENCE SDN. BHD.,Selangor,47100,03-80612006,2024,15365
MALLI20241467A,Intervet (m) Sdn Bhd,Selangor,47301,60374991671,2024,1150016
MALLI20240260,BIO-PHARMACEUTICALS SDN. BHD.,Selangor,40460,03 5131 9343/42,2024,55860
MALLI20240818,EDGE PHARMACEUTICALS SDN. BHD.,W.P. Kuala Lumpur,53000,,2024,1309908
MALLI20241275A,SYARIKAT WELLCHEM SDN. BHD.,Selangor,46400,03-79572449,2024,55820
MALLI20240065,PRO NUTRITION (MALAYSIA) SDN. BHD.,W.P. Kuala Lumpur,57000,+603-8656 9999,2024,1136103
MALLI20240539,OSN NETWORK SDN. BHD.,Selangor,47400,03-77109739,2024,56047
MALLI20241544,GTF WORLDWIDE SDN BHD,W.P. Kuala Lumpur,58100,(603) 7982 9881,2024,1140762
MALLI20241966,MCDEE SDN. BHD.,Selangor,46150,+603-56313887,2024,1317706
MALLI20241471,LUXOR NETWORK ASIA SDN BHD,Selangor,47810,03-76812233,2024,1119299
MALLI20241978A,Haleon Malaysia Sdn. Bhd.,Selangor,68000,03-74912020,2024,1111845
MALLI20240621,EXTRA EXCEL (MALAYSIA) SDN. BHD.,Selangor,47400,03-7660 7788,2024,55887
MALLI20240502A,ZUELLIG PHARMA SDN. BHD.,Selangor,40150,03-55662288,2024,873
MALLI20241677,Comebest Herbal Sdn. Bhd.,Selangor,41200,,2024,1273744
MALLI20240692,SHAN YAO CORPORATION SDN. BHD.,W.P. Kuala Lumpur,55100,03-92815531,2024,1116162
MALLI20240121A,HOVID BERHAD,Perak,30010,05-5060690,2024,793
MALLI20241216,MEDICINSPIRE GLOBAL SDN BHD,W.P. Kuala Lumpur,52200,,2024,1160819
MALLI20240465,REDO MARKETING SDN. BHD.,Selangor,40300,03-51036651,2024,1141028
MALLI20241465,GOBUY TRADING SDN BHD,Selangor,43000,0129321392,2024,1269197
MALLI20240252,NAM LEONG COMPANY SDN. BHD.,W.P. Kuala Lumpur,50100,03-20786393,2024,75771
MALLI20241036A,Y.S.P. INDUSTRIES (M) SDN. BHD.,Selangor,43000,03-89251215,2024,79
MALLI20241037,HNB ALLIANCE SDN. BHD.,Selangor,47130,0378808559,2024,1127685
MALLI20241243,PATHLAB HEALTHCARE (MALAYSIA) SDN. BHD.,Selangor,47810,,2024,1310776
MALLI20240168,PUI KIAN MING SDN BHD,Sarawak,93150,082-244811,2024,1109188
MALLI20240801A,UNAM PHARMACEUTICAL (M) SDN. BHD.,Selangor,46350,0379588373,2024,1108108
